SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
206.0371606830848	327.0	2264.0	3731.0	:red_heart:	love	❤️	
169.88012977200447	1203.0	1355.0	130873.0	:enraged_face:	to	😡	
166.2240685893865	315.0	2264.0	5734.0	:red_heart:	thank	❤️	
163.15249557190143	908.0	1126.0	98606.0	:loudly_crying_face:	i	😭	
149.764695928477	921.0	1023.0	130873.0	:face_with_symbols_on_mouth:	to	🤬	
145.0417813618341	588.0	1126.0	52916.0	:loudly_crying_face:	my	😭	
142.78405861335477	772.0	1355.0	76815.0	:enraged_face:	and	😡	
140.0187594032498	1128.0	2264.0	98606.0	:red_heart:	i	❤️	
133.79676876312553	598.0	1355.0	52916.0	:enraged_face:	my	😡	
133.11751008888672	1121.0	2264.0	106703.0	:red_heart:	the	❤️	
132.11291729406295	850.0	1355.0	106703.0	:enraged_face:	the	😡	
131.2318855391558	909.0	2264.0	73495.0	:red_heart:	you	❤️	
129.36385755517747	568.0	1355.0	51018.0	:enraged_face:	flight	😡	
128.45836296871286	1208.0	2264.0	130873.0	:red_heart:	to	❤️	
124.45993216739878	811.0	1126.0	130873.0	:loudly_crying_face:	to	😭	
124.3192714458445	584.0	1023.0	76815.0	:face_with_symbols_on_mouth:	and	🤬	
123.19446509642746	763.0	1355.0	98606.0	:enraged_face:	i	😡	
122.34932045297795	521.0	1355.0	47912.0	:enraged_face:	on	😡	
121.87899745152218	566.0	1355.0	56645.0	:enraged_face:	for	😡	
121.44483762367537	471.0	1023.0	52916.0	:face_with_symbols_on_mouth:	my	🤬	
115.69869094924266	441.0	1023.0	51018.0	:face_with_symbols_on_mouth:	flight	🤬	
112.9380923506068	141.0	496.0	7043.0	:clapping_hands:	go	👏	
109.6053345597398	462.0	1355.0	46637.0	:enraged_face:	is	😡	
107.82967795684144	127.0	496.0	4984.0	:clapping_hands:	let	👏	
107.78369847533602	146.0	2264.0	2204.0	:red_heart:	always	❤️	
107.56527389376681	586.0	1355.0	76244.0	:enraged_face:	a	😡	
107.54132110235014	603.0	1023.0	106703.0	:face_with_symbols_on_mouth:	the	🤬	
107.30947953513193	769.0	2264.0	76815.0	:red_heart:	and	❤️	
107.17726767420196	145.0	2264.0	2193.0	:red_heart:	best	❤️	
106.61651242714036	681.0	1068.0	130873.0	:airplane:	to	✈️	
106.57097709717958	428.0	1126.0	51018.0	:loudly_crying_face:	flight	😭	
105.3954477660266	372.0	1355.0	32995.0	:enraged_face:	this	😡	
104.99689529277262	106.0	74.0	6.0	:gem_stone:	#babytigerking	💎	
102.09863947592697	106.0	489.0	868.0	:United_States:	freedom	🇺🇸	
101.90963325992806	546.0	1355.0	73495.0	:enraged_face:	you	😡	
101.8086358139926	623.0	2264.0	56645.0	:red_heart:	for	❤️	
101.52460062469609	109.0	496.0	1910.0	:clapping_hands:	brandon	👏	
101.11756898624657	341.0	414.0	98606.0	:weary_face:	i	😩	
101.00865380159853	529.0	728.0	130873.0	:face_with_rolling_eyes:	to	🙄	
100.913007690024	723.0	2264.0	76244.0	:red_heart:	a	❤️	
99.47493812805618	588.0	2264.0	52916.0	:red_heart:	my	❤️	
98.84184420198967	914.0	2812.0	98606.0	:face_with_tears_of_joy:	i	😂	
97.88098731333231	168.0	1126.0	8985.0	:loudly_crying_face:	please	😭	
97.29650529956145	526.0	1023.0	98606.0	:face_with_symbols_on_mouth:	i	🤬	
97.28129828463871	940.0	2812.0	106703.0	:face_with_tears_of_joy:	the	😂	
97.07716045986349	373.0	1355.0	38674.0	:enraged_face:	in	😡	
96.2425004314257	454.0	728.0	106703.0	:face_with_rolling_eyes:	the	🙄	
96.2269698021375	555.0	1068.0	106703.0	:airplane:	the	✈️	
95.99942111252871	178.0	496.0	24468.0	:clapping_hands:	's	👏	
94.75036880296305	212.0	1355.0	13385.0	:enraged_face:	now	😡	
93.79241188305713	197.0	2812.0	5657.0	:face_with_tears_of_joy:	weather	😂	
93.74231265291647	380.0	1023.0	56645.0	:face_with_symbols_on_mouth:	for	🤬	
93.44841079014208	183.0	1023.0	13385.0	:face_with_symbols_on_mouth:	now	🤬	
92.29585990616405	395.0	602.0	106703.0	:thinking_face:	the	🤔	
92.29367665991816	283.0	1023.0	32995.0	:face_with_symbols_on_mouth:	this	🤬	
90.98055243249897	423.0	1023.0	73495.0	:face_with_symbols_on_mouth:	you	🤬	
90.49948236226952	259.0	1355.0	21757.0	:enraged_face:	no	😡	
90.1101321788487	264.0	2264.0	13626.0	:red_heart:	southwest	❤️	
89.06854173228437	221.0	1023.0	21757.0	:face_with_symbols_on_mouth:	no	🤬	
88.33270505633236	329.0	1023.0	47912.0	:face_with_symbols_on_mouth:	on	🤬	
87.0462367233608	106.0	804.0	3731.0	:blue_heart:	love	💙	
87.00355200345962	519.0	1126.0	106703.0	:loudly_crying_face:	the	😭	
86.97185594094584	88.0	110.0	44.0	:crown:	sphynxετη	👑	
86.97185594094584	88.0	110.0	44.0	:crown:	sphynx	👑	
86.9712164733261	88.0	110.0	45.0	:crown:	farming	👑	
86.97057701326892	88.0	110.0	46.0	:crown:	staking	👑	
86.6060413863479	88.0	110.0	618.0	:crown:	live	👑	
86.23057808119677	317.0	1023.0	46637.0	:face_with_symbols_on_mouth:	is	🤬	
85.62557796725152	109.0	2812.0	1344.0	:face_with_tears_of_joy:	lol	😂	
84.78141482741039	283.0	1023.0	38674.0	:face_with_symbols_on_mouth:	in	🤬	
83.78255740681324	421.0	1126.0	76815.0	:loudly_crying_face:	and	😭	
83.67718119108127	251.0	1355.0	23724.0	:enraged_face:	was	😡	
83.56119495951182	217.0	1126.0	21551.0	:loudly_crying_face:	me	😭	
82.64112405473556	88.0	110.0	7102.0	:crown:	going	👑	
82.47864310085824	124.0	2264.0	3096.0	:red_heart:	great	❤️	
82.46148930005481	228.0	278.0	98606.0	:pleading_face:	i	🥺	
82.41800596589883	254.0	1023.0	33080.0	:face_with_symbols_on_mouth:	n't	🤬	
82.29293811191027	203.0	414.0	52916.0	:weary_face:	my	😩	
82.05242039053358	901.0	2812.0	130873.0	:face_with_tears_of_joy:	to	😂	
81.16031709511661	263.0	1126.0	33080.0	:loudly_crying_face:	n't	😭	
80.79136639188194	215.0	1355.0	18751.0	:enraged_face:	at	😡	
80.66432250037556	135.0	1664.0	5657.0	:rolling_on_the_floor_laughing:	weather	🤣	
80.51718089792452	386.0	602.0	130873.0	:thinking_face:	to	🤔	
80.25671490832835	107.0	804.0	5734.0	:blue_heart:	thank	💙	
79.85114037616904	181.0	1355.0	13626.0	:enraged_face:	southwest	😡	
79.56577869578005	445.0	1068.0	98606.0	:airplane:	i	✈️	
79.46226551512483	126.0	2264.0	3602.0	:red_heart:	swa	❤️	
79.13859837802048	91.0	350.0	5734.0	:smiling_face_with_smiling_eyes:	thank	😊	
78.89399298894253	234.0	1355.0	23121.0	:enraged_face:	we	😡	
78.34179931533275	309.0	414.0	130873.0	:weary_face:	to	😩	
78.01455407513349	184.0	1355.0	14741.0	:enraged_face:	flights	😡	
77.77912404041517	312.0	728.0	76815.0	:face_with_rolling_eyes:	and	🙄	
77.63806891492392	210.0	356.0	73495.0	:pile_of_poo:	you	💩	
77.41249877544483	254.0	1355.0	28060.0	:enraged_face:	with	😡	
77.23528022339919	319.0	804.0	73495.0	:blue_heart:	you	💙	
77.04060507823137	305.0	1068.0	51018.0	:airplane:	flight	✈️	
76.92180696855368	158.0	1355.0	11092.0	:enraged_face:	hours	😡	
76.44523771719459	94.0	349.0	8985.0	:folded_hands:	please	🙏	
76.28525235915183	116.0	94.0	76815.0	:man_facepalming_medium-dark_skin_tone:	and	🤦🏾‍♂️	
76.2838023286514	368.0	804.0	98606.0	:blue_heart:	i	💙	
76.21924145314853	185.0	414.0	51018.0	:weary_face:	flight	😩	
75.78554218108596	224.0	2264.0	13707.0	:red_heart:	so	❤️	
75.38511238838947	560.0	1664.0	106703.0	:rolling_on_the_floor_laughing:	the	🤣	
75.02880212548168	276.0	1355.0	34861.0	:enraged_face:	your	😡	
74.99112299424007	257.0	728.0	56645.0	:face_with_rolling_eyes:	for	🙄	
74.70564102860564	151.0	1355.0	10702.0	:enraged_face:	how	😡	
74.45587354527194	418.0	804.0	130873.0	:blue_heart:	to	💙	
74.31790766783394	175.0	1126.0	17632.0	:loudly_crying_face:	all	😭	
73.82598647276411	220.0	1355.0	23224.0	:enraged_face:	get	😡	
73.733494243923	291.0	1126.0	47912.0	:loudly_crying_face:	on	😭	
73.66918959784186	190.0	1023.0	23224.0	:face_with_symbols_on_mouth:	get	🤬	
73.58145642306079	234.0	1023.0	34861.0	:face_with_symbols_on_mouth:	your	🤬	
73.48698681239945	434.0	2264.0	51018.0	:red_heart:	flight	❤️	
73.46046341384655	606.0	2812.0	76244.0	:face_with_tears_of_joy:	a	😂	
73.31876691927494	164.0	338.0	52916.0	:unamused_face:	my	😒	
73.27269106107545	185.0	231.0	98606.0	:crying_face:	i	😢	
72.40482217625207	247.0	1126.0	36198.0	:loudly_crying_face:	it	😭	
72.31018908887035	365.0	1126.0	76244.0	:loudly_crying_face:	a	😭	
72.26388665816094	281.0	2264.0	23121.0	:red_heart:	we	❤️	
72.2310672046247	211.0	231.0	130873.0	:crying_face:	to	😢	
72.13911256522226	239.0	728.0	52916.0	:face_with_rolling_eyes:	my	🙄	
72.08592317798035	515.0	1664.0	98606.0	:rolling_on_the_floor_laughing:	i	🤣	
71.97932575351307	234.0	728.0	51018.0	:face_with_rolling_eyes:	flight	🙄	
71.96378933549403	299.0	602.0	98606.0	:thinking_face:	i	🤔	
71.70601877772705	362.0	804.0	106703.0	:blue_heart:	the	💙	
71.67282874487555	85.0	278.0	8985.0	:pleading_face:	please	🥺	
71.65698499617622	96.0	1126.0	4143.0	:loudly_crying_face:	y'	😭	
71.63294198700895	345.0	1068.0	73495.0	:airplane:	you	✈️	
71.45349732983485	185.0	1355.0	17632.0	:enraged_face:	all	😡	
71.26476026178862	123.0	1355.0	7453.0	:enraged_face:	canceled	😡	
71.15115626143341	577.0	2812.0	73495.0	:face_with_tears_of_joy:	you	😂	
71.14435113310255	194.0	268.0	98606.0	:upside-down_face:	i	🙃	
71.07136784370492	255.0	1355.0	33080.0	:enraged_face:	n't	😡	
71.05726726669937	277.0	1126.0	46637.0	:loudly_crying_face:	is	😭	
70.95875890993022	298.0	1068.0	56645.0	:airplane:	for	✈️	
70.89436009381234	148.0	157.0	98606.0	:tired_face:	i	😫	
70.85593251349786	306.0	1126.0	56645.0	:loudly_crying_face:	for	😭	
70.83165511547318	146.0	1126.0	13385.0	:loudly_crying_face:	now	😭	
70.78683407853254	172.0	161.0	130873.0	:disappointed_face:	to	😞	
70.73933698002787	190.0	349.0	73495.0	:folded_hands:	you	🙏	
70.6117143774324	102.0	1068.0	5734.0	:airplane:	thank	✈️	
70.55980191738414	339.0	1023.0	76244.0	:face_with_symbols_on_mouth:	a	🤬	
70.50858099567229	149.0	161.0	98606.0	:disappointed_face:	i	😞	
69.9810713302789	186.0	1023.0	24547.0	:face_with_symbols_on_mouth:	are	🤬	
69.76933843174967	321.0	728.0	98606.0	:face_with_rolling_eyes:	i	🙄	
69.68448904294758	271.0	489.0	106703.0	:United_States:	the	🇺🇸	
69.44468167560623	100.0	1023.0	5918.0	:face_with_symbols_on_mouth:	days	🤬	
69.4182794931217	355.0	2264.0	38674.0	:red_heart:	in	❤️	
69.2754179956838	181.0	1023.0	23724.0	:face_with_symbols_on_mouth:	was	🤬	
69.12940527475165	172.0	1023.0	21551.0	:face_with_symbols_on_mouth:	me	🤬	
69.02184044818145	120.0	1126.0	9113.0	:loudly_crying_face:	help	😭	
68.67108742991115	139.0	1355.0	10683.0	:enraged_face:	cancelled	😡	
68.64306232447966	74.0	489.0	1910.0	:United_States:	brandon	🇺🇸	
68.05682469195985	355.0	2264.0	40041.0	:red_heart:	of	❤️	
